,param_0,param_1,sigma,S,f,ef,r,alpha,NPV_ent,n_firms,Pr_mean,EP,C_mean,C_max,Sigma2,n_entr,n_ext
0,0.2,0.3,0.5,16,0.01,0.01,0.01,0.9,-0.019721367074529414,16,0.0041263753242641865,0.0009612847219932583,0.23294257127086287,0.26899912949666377,0.3181711744629892,8,2
1,0.2,0.3,0.5,16,0.01,0.01,0.01,0.9,-0.030385177873670996,15,0.005545464963523736,0.0006024807515826545,0.2257547251264196,0.252740152963064,0.3168424045233114,1,2
2,0.2,0.3,0.5,16,0.01,0.01,0.01,0.9,-0.03957679718726152,15,0.006321951199528088,0.00083881208859766,0.22674995514928925,0.24949309255156715,0.3177205486611376,1,1
3,0.2,0.3,0.5,16,0.01,0.01,0.01,0.9,-0.02593932084617749,15,0.006348829196923625,0.0007293259501780034,0.22629050520411767,0.247927942679704,0.3173151516506921,1,1
4,0.2,0.3,0.5,16,0.01,0.01,0.01,0.9,-0.11572263312954899,16,0.0045434070092996645,0.0008353074749132636,0.23242106085298114,0.28325484487858194,0.3177076096470943,2,1
5,0.2,0.3,0.5,16,0.01,0.01,0.01,0.9,-0.07638049948024643,17,0.0031223666015813027,0.0011561133428332846,0.2387504171582176,0.28325484487858194,0.3188819521941947,2,1
6,0.2,0.3,0.5,16,0.01,0.01,0.01,0.9,-0.028492326957178973,18,0.0013088658434459704,0.0011913673963965896,0.24334420506543783,0.2762012056843348,0.31900978455889406,3,2
7,0.2,0.3,0.5,16,0.01,0.01,0.01,0.9,-0.04055351381900647,18,0.0014149024327482543,0.0008704032451110153,0.2420411907154654,0.26867063635202265,0.31783707164391883,2,2
8,0.2,0.3,0.5,16,0.01,0.01,0.01,0.9,-0.018916268345496298,18,0.0013454118753595955,0.0007572770924884984,0.2415765319527155,0.268146579891395,0.31741887875744396,2,2
9,0.2,0.3,0.5,16,0.01,0.01,0.01,0.9,-0.028064972002140018,17,0.0025584272745191425,0.0010009384735929026,0.23811837353842252,0.2656097565211563,0.3183164394817465,1,2
10,0.2,0.3,0.5,16,0.01,0.01,0.01,0.9,-0.014527227204892369,18,0.0017090646641000358,0.0008968176866734432,0.2421492745073073,0.2705454346177913,0.3179343470565766,2,1
11,0.2,0.3,0.5,16,0.01,0.01,0.01,0.9,-0.05163833534167177,18,0.001697739934417536,0.0008991201975954519,0.2421586886919259,0.2705454346177913,0.3179428198227333,1,1
12,0.2,0.3,0.5,16,0.01,0.01,0.01,0.9,-0.02415767877096754,18,0.0018136348687485644,0.0005046076166919187,0.24052815260456178,0.2656097565211563,0.3164753373441056,1,1
13,0.2,0.3,0.5,16,0.01,0.01,0.01,0.9,-0.055965642757449266,17,0.0020462060444105686,0.0010542638191399865,0.2383361616665068,0.2640895991175319,0.3185113025437166,2,3
14,0.2,0.3,0.5,16,0.01,0.01,0.01,0.9,-0.027759574481729485,16,0.003913747707394524,0.0009738535377973121,0.2329944082125035,0.26147864985161595,0.31821725174444754,1,2
15,0.2,0.3,0.5,16,0.01,0.01,0.01,0.9,0.00208889970210137,16,0.004540012463815548,0.0006294411884663152,0.2315610599585237,0.25458975197082373,0.31694316440757664,1,1
16,0.2,0.3,0.5,16,0.01,0.01,0.01,0.9,-0.03554262213431149,15,0.005878074115365334,0.0010149867097771301,0.227483539362441,0.25005518444978175,0.31836782884921266,1,2
17,0.2,0.3,0.5,16,0.01,0.01,0.01,0.9,-0.04738876665869378,15,0.006303367604551713,0.0011891313440679872,0.22820190807233087,0.26185273259873243,0.31900168359323317,1,1
18,0.2,0.3,0.5,16,0.01,0.01,0.01,0.9,-0.02290669875123029,15,0.0055728429808762124,0.0011143128963523406,0.2278940842195231,0.25723537480661585,0.31873007431134387,2,2
19,0.2,0.3,0.5,16,0.01,0.01,0.01,0.9,-0.04418020785325376,15,0.005569026339009882,0.0009174278318728833,0.22707817066307287,0.25005518444978175,0.31801015058506427,2,2
20,0.2,0.3,0.5,16,0.01,0.01,0.01,0.9,-0.034544751202884735,15,0.006480568417844673,0.0006249089667198868,0.2258497348521754,0.2486671350703606,0.3169262366342724,1,1
21,0.2,0.3,0.5,16,0.01,0.01,0.01,0.9,-0.06100674726065118,15,0.006407545453497537,0.0005108520326488428,0.22536532610880372,0.2449966714598626,0.31649881715482686,1,1
22,0.2,0.3,0.5,16,0.01,0.01,0.01,0.9,-0.022537135603799677,15,0.006091094328350937,0.0010101350803207818,0.227463430390605,0.26575364785775124,0.3183500856387691,1,1
23,0.2,0.3,0.5,16,0.01,0.01,0.01,0.9,-0.023942052690654372,15,0.006149844747605569,0.000722492100603581,0.22626173571483596,0.2449966714598626,0.3172897668072082,1,1
24,0.2,0.3,0.5,16,0.01,0.01,0.01,0.9,-0.03812918172333306,15,0.005202092369308653,0.0008887549726049691,0.22695862554236051,0.25545001887273083,0.3179046695962005,2,2
25,0.2,0.3,0.5,16,0.01,0.01,0.01,0.9,-0.008101757260359011,15,0.0063181875499648795,0.0011877631710554924,0.22819628990585697,0.25190998472026005,0.31899672638752086,1,1
26,0.2,0.3,0.5,16,0.01,0.01,0.01,0.9,-0.03033805957557366,15,0.006334887378192704,0.0006423408833741515,0.2259234972942936,0.24898283699564452,0.3169913211420237,1,1
27,0.2,0.3,0.5,16,0.01,0.01,0.01,0.9,-0.05223474873667237,16,0.004293676354496167,0.0003264768991683518,0.2302772663466306,0.2560490039814943,0.3158020145303383,2,1
28,0.2,0.3,0.5,16,0.01,0.01,0.01,0.9,-0.015134062608980077,16,0.004461972266732235,0.0010013332413754215,0.23310761960799906,0.28093205663394494,0.3183178840959992,1,1
29,0.2,0.3,0.5,16,0.01,0.01,0.01,0.9,-0.05955237165916956,15,0.00465992704294935,0.0011222984308331494,0.22792699688874218,0.253732158249347,0.31875911490183134,2,3
